"Time","PM 0.5"
2021-12-22 11:00:00,152
2021-12-22 12:00:00,139
2021-12-22 12:30:00,96
2021-12-22 13:00:00,92
2021-12-22 13:30:00,99
2021-12-22 14:00:00,101
2021-12-22 14:30:00,139
2021-12-22 15:00:00,162
2021-12-22 15:30:00,221
2021-12-22 16:00:00,239
2021-12-22 16:30:00,186
2021-12-22 17:00:00,195
2021-12-22 17:30:00,186
2021-12-22 18:00:00,65
2021-12-22 18:30:00,51
2021-12-22 19:00:00,47
2021-12-22 19:30:00,40
2021-12-22 20:00:00,39
2021-12-22 20:30:00,37
2021-12-22 21:00:00,42
2021-12-22 21:30:00,47
2021-12-22 22:00:00,47
2021-12-22 22:30:00,73
2021-12-22 23:00:00,67
2021-12-22 23:30:00,70
2021-12-23 00:00:00,68
2021-12-23 00:30:00,57
2021-12-23 01:00:00,57
2021-12-23 01:30:00,54
2021-12-23 02:00:00,51
2021-12-23 02:30:00,43
2021-12-23 03:00:00,56
2021-12-23 03:30:00,57
2021-12-23 04:00:00,55
2021-12-23 04:30:00,56
2021-12-23 05:00:00,51
2021-12-23 05:30:00,57
2021-12-23 06:00:00,64
2021-12-23 06:30:00,60
2021-12-23 07:00:00,60
2021-12-23 07:30:00,53
2021-12-23 08:00:00,60
2021-12-23 08:30:00,54
2021-12-23 09:00:00,61
2021-12-23 09:30:00,166
2021-12-23 10:00:00,252
2021-12-23 10:30:00,320
2021-12-23 11:00:00,257
2021-12-23 11:30:00,213
2021-12-23 12:00:00,163
2021-12-23 12:30:00,155
2021-12-23 13:00:00,169
2021-12-23 13:30:00,159
2021-12-23 14:00:00,173
2021-12-23 14:30:00,142
2021-12-23 15:00:00,207
2021-12-23 15:30:00,230
2021-12-23 16:00:00,218
2021-12-23 16:30:00,193
2021-12-23 17:00:00,175
2021-12-23 17:30:00,99
2021-12-23 18:00:00,104
2021-12-23 18:30:00,99
2021-12-23 19:00:00,99
2021-12-23 19:30:00,98
2021-12-23 20:00:00,103
2021-12-23 20:30:00,95
2021-12-23 21:00:00,96
2021-12-23 21:30:00,96
2021-12-23 22:00:00,97
2021-12-23 22:30:00,97
2021-12-23 23:00:00,107
2021-12-23 23:30:00,132
2021-12-24 00:00:00,117
2021-12-24 00:30:00,124
2021-12-24 01:00:00,116
2021-12-24 01:30:00,120
2021-12-24 02:00:00,117
2021-12-24 02:30:00,100
2021-12-24 03:00:00,113
2021-12-24 03:30:00,119
2021-12-24 04:00:00,112
2021-12-24 04:30:00,110
2021-12-24 05:00:00,114
2021-12-24 05:30:00,122
2021-12-24 06:00:00,123
2021-12-24 06:30:00,114
2021-12-24 07:00:00,118
2021-12-24 07:30:00,110
2021-12-24 08:00:00,113
2021-12-24 08:30:00,104
2021-12-24 09:00:00,110
2021-12-24 09:30:00,339
2021-12-24 10:00:00,213
2021-12-24 10:30:00,227
2021-12-24 11:00:00,235
2021-12-24 11:30:00,180
2021-12-24 12:00:00,207
2021-12-24 12:30:00,265
2021-12-24 13:00:00,424
2021-12-24 13:30:00,223
2021-12-24 14:00:00,196
2021-12-24 14:30:00,223
2021-12-24 15:00:00,228
2021-12-24 15:30:00,190
2021-12-24 16:00:00,206
2021-12-24 17:00:00,151
2021-12-24 17:30:00,124
2021-12-24 18:00:00,65
2021-12-24 18:30:00,74
2021-12-24 19:00:00,84
2021-12-24 19:30:00,90
2021-12-24 20:00:00,86
2021-12-24 20:30:00,65
2021-12-24 21:00:00,74
2021-12-24 21:30:00,64
2021-12-24 22:00:00,60
2021-12-24 22:30:00,61
2021-12-24 23:00:00,59
2021-12-24 23:30:00,59
2021-12-25 00:00:00,67
2021-12-25 00:30:00,60
2021-12-25 01:00:00,69
2021-12-25 01:30:00,54
2021-12-25 02:00:00,43
2021-12-25 02:30:00,48
2021-12-25 03:00:00,43
2021-12-25 03:30:00,45
2021-12-25 04:00:00,36
2021-12-25 04:30:00,38
2021-12-25 05:00:00,34
2021-12-25 05:30:00,36
2021-12-25 06:00:00,32
2021-12-25 06:30:00,28
2021-12-25 07:00:00,29
2021-12-25 07:30:00,31
2021-12-25 08:00:00,26
2021-12-25 08:30:00,26
2021-12-25 09:00:00,27
2021-12-25 09:30:00,24
2021-12-25 10:00:00,31
2021-12-25 10:30:00,26
2021-12-25 11:00:00,26
2021-12-25 11:30:00,29
2021-12-25 12:00:00,23
2021-12-25 12:30:00,24
2021-12-25 13:00:00,21
2021-12-25 13:30:00,22
2021-12-25 14:00:00,24
2021-12-25 14:30:00,23
2021-12-25 15:00:00,24
2021-12-25 15:30:00,21
2021-12-25 16:00:00,23
2021-12-25 16:30:00,20
2021-12-25 17:00:00,23
2021-12-25 17:30:00,20
2021-12-25 18:00:00,24
2021-12-25 18:30:00,27
2021-12-25 19:00:00,28
2021-12-25 19:30:00,27
2021-12-25 20:00:00,30
2021-12-25 20:30:00,33
2021-12-25 21:00:00,27
2021-12-25 21:30:00,28
2021-12-25 22:00:00,27
2021-12-25 22:30:00,25
2021-12-25 23:00:00,26
2021-12-25 23:30:00,25
2021-12-26 00:00:00,21
2021-12-26 00:30:00,19
2021-12-26 01:00:00,16
2021-12-26 01:30:00,16
2021-12-26 02:00:00,19
2021-12-26 02:30:00,16
2021-12-26 03:00:00,18
2021-12-26 03:30:00,19
2021-12-26 04:00:00,18
2021-12-26 04:30:00,17
2021-12-26 05:00:00,18
2021-12-26 05:30:00,17
2021-12-26 06:00:00,20
2021-12-26 06:30:00,21
2021-12-26 07:00:00,18
2021-12-26 07:30:00,20
2021-12-26 08:00:00,19
2021-12-26 08:30:00,17
2021-12-26 09:00:00,23
2021-12-26 09:30:00,22
2021-12-26 10:00:00,21
2021-12-26 10:30:00,26
2021-12-26 11:00:00,23
2021-12-26 11:30:00,19
2021-12-26 12:00:00,22
2021-12-26 12:30:00,23
2021-12-26 13:00:00,24
2021-12-26 13:30:00,24
2021-12-26 14:00:00,24
2021-12-26 14:30:00,24
2021-12-26 15:00:00,22
2021-12-26 15:30:00,21
2021-12-26 16:00:00,23
2021-12-26 16:30:00,27
2021-12-26 17:00:00,18
2021-12-26 17:30:00,13
2021-12-26 18:00:00,15
2021-12-26 18:30:00,18
2021-12-26 19:00:00,19
2021-12-26 19:30:00,22
2021-12-26 20:00:00,21
2021-12-26 20:30:00,23
2021-12-26 21:00:00,23
2021-12-26 21:30:00,23
2021-12-26 22:00:00,18
2021-12-26 22:30:00,24
2021-12-26 23:00:00,26
2021-12-26 23:30:00,21
2021-12-27 00:00:00,21
2021-12-27 00:30:00,23
2021-12-27 01:00:00,23
2021-12-27 01:30:00,22
2021-12-27 02:00:00,21
2021-12-27 02:30:00,21
2021-12-27 03:00:00,20
2021-12-27 03:30:00,24
2021-12-27 04:00:00,26
2021-12-27 04:30:00,23
2021-12-27 05:00:00,29
2021-12-27 05:30:00,30
2021-12-27 06:00:00,26
2021-12-27 06:30:00,27
2021-12-27 07:00:00,29
2021-12-27 07:30:00,33
2021-12-27 08:00:00,31
2021-12-27 08:30:00,32
2021-12-27 09:00:00,42
2021-12-27 09:30:00,154
2021-12-27 10:00:00,178
2021-12-27 10:30:00,206
2021-12-27 11:00:00,243
2021-12-27 11:30:00,236
2021-12-27 12:00:00,289
2021-12-27 12:30:00,182
2021-12-27 13:00:00,246
2021-12-27 13:30:00,257
2021-12-27 14:00:00,260
2021-12-27 14:30:00,372
2021-12-27 15:00:00,443
2021-12-27 15:30:00,470
2021-12-27 16:00:00,481
2021-12-27 16:30:00,472
2021-12-27 17:00:00,446
2021-12-27 17:30:00,170
2021-12-27 18:00:00,75
2021-12-27 18:30:00,61
2021-12-27 19:00:00,59
2021-12-27 19:30:00,64
2021-12-27 20:00:00,68
2021-12-27 20:30:00,72
2021-12-27 21:00:00,69
2021-12-27 21:30:00,68
2021-12-27 22:00:00,65
2021-12-27 22:30:00,60
2021-12-27 23:00:00,57
2021-12-27 23:30:00,61
2021-12-28 00:00:00,61
2021-12-28 00:30:00,61
2021-12-28 01:00:00,68
2021-12-28 01:30:00,73
2021-12-28 02:00:00,81
2021-12-28 02:30:00,84
2021-12-28 03:00:00,75
2021-12-28 03:30:00,75
2021-12-28 04:00:00,61
2021-12-28 04:30:00,54
2021-12-28 05:00:00,49
2021-12-28 05:30:00,51
2021-12-28 06:00:00,51
2021-12-28 06:30:00,53
2021-12-28 07:00:00,51
2021-12-28 07:30:00,55
2021-12-28 08:00:00,55
2021-12-28 08:30:00,61
2021-12-28 09:00:00,60
2021-12-28 09:30:00,154
2021-12-28 10:00:00,135
2021-12-28 10:30:00,191
2021-12-28 11:00:00,202
2021-12-28 11:30:00,223
2021-12-28 12:00:00,209
2021-12-28 12:30:00,141
2021-12-28 13:00:00,126
2021-12-28 13:30:00,186
2021-12-28 14:00:00,250
2021-12-28 14:30:00,264
2021-12-28 15:00:00,259
2021-12-28 15:30:00,296
2021-12-28 16:00:00,291
2021-12-28 16:30:00,305
2021-12-28 17:00:00,300
2021-12-28 17:30:00,315
2021-12-28 18:00:00,302
2021-12-28 18:30:00,205
2021-12-28 19:00:00,158
2021-12-28 19:30:00,152
2021-12-28 20:00:00,151
2021-12-28 20:30:00,141
2021-12-28 21:00:00,143
2021-12-28 21:30:00,133
2021-12-28 22:00:00,136
2021-12-28 22:30:00,140
2021-12-28 23:00:00,139
2021-12-28 23:30:00,148
2021-12-29 00:00:00,154
2021-12-29 00:30:00,145
2021-12-29 01:00:00,150
2021-12-29 01:30:00,156
2021-12-29 02:00:00,155
2021-12-29 02:30:00,151
2021-12-29 03:00:00,157
2021-12-29 03:30:00,147
2021-12-29 04:00:00,120
2021-12-29 04:30:00,134
2021-12-29 05:00:00,151
2021-12-29 05:30:00,124
2021-12-29 06:00:00,133
2021-12-29 06:30:00,119
2021-12-29 07:00:00,106
2021-12-29 07:30:00,106
2021-12-29 08:00:00,105
2021-12-29 08:30:00,103
2021-12-29 09:00:00,113
2021-12-29 09:30:00,210
2021-12-29 10:00:00,458
2021-12-29 10:30:00,659
2021-12-29 11:00:00,601
2021-12-29 11:30:00,580
2021-12-29 12:00:00,581
2021-12-29 12:30:00,667
2021-12-29 13:00:00,507
2021-12-29 13:30:00,507
2021-12-29 14:00:00,530
2021-12-29 14:30:00,332
2021-12-29 15:00:00,400
2021-12-29 15:30:00,465
2021-12-29 16:00:00,470
2021-12-29 16:30:00,517
2021-12-29 17:00:00,537
2021-12-29 17:30:00,584
2021-12-29 18:00:00,261
2021-12-29 18:30:00,167
2021-12-29 19:00:00,167
2021-12-29 19:30:00,167
2021-12-29 20:00:00,163
2021-12-29 20:30:00,152
2021-12-29 21:00:00,141
2021-12-29 21:30:00,130
2021-12-29 22:00:00,112
2021-12-29 22:30:00,99
2021-12-29 23:00:00,90
2021-12-29 23:30:00,83
2021-12-30 00:00:00,87
2021-12-30 00:30:00,82
2021-12-30 01:00:00,83
2021-12-30 01:30:00,81
2021-12-30 02:00:00,87
2021-12-30 02:30:00,85
2021-12-30 03:00:00,91
2021-12-30 03:30:00,85
2021-12-30 04:00:00,84
2021-12-30 04:30:00,81
2021-12-30 05:00:00,81
2021-12-30 05:30:00,79
2021-12-30 06:00:00,80
2021-12-30 06:30:00,80
2021-12-30 07:00:00,80
2021-12-30 07:30:00,70
2021-12-30 08:00:00,60
2021-12-30 08:30:00,59
2021-12-30 09:00:00,56
2021-12-30 09:30:00,62
2021-12-30 10:00:00,170
2021-12-30 10:30:00,216
2021-12-30 11:00:00,393
2021-12-30 11:30:00,330
2021-12-30 12:00:00,309
2021-12-30 12:30:00,391
2021-12-30 13:00:00,335
2021-12-30 13:30:00,247
2021-12-30 14:00:00,244
2021-12-30 14:30:00,305
2021-12-30 15:00:00,197
2021-12-30 15:30:00,164
2021-12-30 16:00:00,193
2021-12-30 16:30:00,107
2021-12-30 17:00:00,245
2021-12-30 17:30:00,206
2021-12-30 18:00:00,32
2021-12-30 18:30:00,52
2021-12-30 19:00:00,39
2021-12-30 19:30:00,48
2021-12-30 20:00:00,34
2021-12-30 20:30:00,31
2021-12-30 21:00:00,39
2021-12-30 21:30:00,38
2021-12-30 22:00:00,41
2021-12-30 22:30:00,44
2021-12-30 23:00:00,32
2021-12-30 23:30:00,33
2021-12-31 00:00:00,190
2021-12-31 00:30:00,44
2021-12-31 01:00:00,19
2021-12-31 01:30:00,15
2021-12-31 02:00:00,13
2021-12-31 02:30:00,13
2021-12-31 03:00:00,11
2021-12-31 03:30:00,11
2021-12-31 04:00:00,8.3
2021-12-31 04:30:00,7.6
2021-12-31 05:00:00,9.4
2021-12-31 05:30:00,7.4
2021-12-31 06:00:00,7.6
2021-12-31 06:30:00,12
2021-12-31 07:00:00,14
2021-12-31 07:30:00,11
2021-12-31 08:00:00,9.5
2021-12-31 08:30:00,7.4
2021-12-31 09:00:00,6.8
2021-12-31 09:30:00,74
2021-12-31 10:00:00,126
2021-12-31 10:30:00,184
2021-12-31 11:00:00,310
2021-12-31 11:30:00,272
2021-12-31 12:00:00,330
2021-12-31 12:30:00,487
2021-12-31 13:00:00,479
2021-12-31 13:30:00,280
2021-12-31 14:00:00,368
2021-12-31 14:30:00,421
2021-12-31 15:00:00,428
2021-12-31 15:30:00,111
2021-12-31 16:00:00,68
2021-12-31 16:30:00,37
2021-12-31 17:00:00,32
2021-12-31 17:30:00,20
2021-12-31 18:00:00,20
2021-12-31 18:30:00,16
2021-12-31 19:00:00,20
2021-12-31 19:30:00,22
2021-12-31 20:00:00,20
2021-12-31 20:30:00,21
2021-12-31 21:00:00,25
2021-12-31 21:30:00,27
2021-12-31 22:00:00,31
2021-12-31 22:30:00,32
2021-12-31 23:00:00,34
2021-12-31 23:30:00,40
2022-01-01 00:00:00,43
2022-01-01 00:30:00,43
2022-01-01 01:00:00,42
2022-01-01 01:30:00,44
2022-01-01 02:00:00,42
2022-01-01 02:30:00,42
2022-01-01 03:00:00,39
2022-01-01 03:30:00,41
2022-01-01 04:00:00,42
2022-01-01 04:30:00,39
2022-01-01 05:00:00,41
2022-01-01 05:30:00,35
2022-01-01 06:00:00,37
2022-01-01 06:30:00,37
2022-01-01 07:00:00,35
2022-01-01 07:30:00,41
2022-01-01 08:00:00,38
2022-01-01 08:30:00,40
2022-01-01 09:00:00,45
2022-01-01 09:30:00,39
2022-01-01 10:00:00,45
2022-01-01 10:30:00,43
2022-01-01 11:00:00,44
2022-01-01 11:30:00,41
2022-01-01 12:00:00,43
2022-01-01 12:30:00,41
2022-01-01 13:00:00,42
2022-01-01 13:30:00,44
2022-01-01 14:00:00,44
2022-01-01 14:30:00,42
2022-01-01 15:00:00,46
2022-01-01 15:30:00,49
2022-01-01 16:00:00,50
2022-01-01 16:30:00,55
2022-01-01 17:00:00,52
2022-01-01 17:30:00,57
2022-01-01 18:00:00,54
2022-01-01 18:30:00,55
2022-01-01 19:00:00,61
2022-01-01 19:30:00,57
2022-01-01 20:00:00,60
2022-01-01 20:30:00,63
2022-01-01 21:00:00,67
2022-01-01 21:30:00,65
2022-01-01 22:00:00,68
2022-01-01 22:30:00,71
2022-01-01 23:00:00,74
